is_airplane,is_more_1000ft,number_struck,is_damaged,number_engines,is_precipitation,wildlife_size,conditions_sky,is_pilot_warned,is_aircraft_large,Year,Month,Weekday,flight_phase_Approach,flight_phase_Climb,flight_phase_Descent,flight_phase_Landing Roll,flight_phase_Parked,flight_phase_Take-off run,flight_phase_Taxi,regions_Canada,regions_International,regions_Region_1,regions_Region_10,regions_Region_2,regions_Region_3,regions_Region_4,regions_Region_5,regions_Region_6,regions_Region_7,regions_Region_8,regions_Region_9
1,1,3,1,2,0,1,0,0,1,2000,11,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,3,1,2,0,0,1,1,0,2001,07,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,3,0,2,0,0,0,0,0,2001,09,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,3,0,2,0,0,1,1,1,2002,09,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,3,0,2,0,0,0,0,0,2003,06,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,3,0,2,0,0,0,0,0,2003,07,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,3,1,2,0,0,0,0,0,2003,08,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,3,1,2,0,0,1,1,0,2006,03,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,1,0,2,0,0,1,0,0,2000,01,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,1,0,2,0,0,1,0,0,2000,01,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,1,0,2,0,0,1,0,0,2000,01,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,2,0,2,0,0,0,2000,01,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,0,2,0,0,2,0,0,2000,01,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,0,2,1,0,2,0,0,2000,01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,2,0,0,0,0,1,2000,01,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
